Company_Name,HR_Email,Date applied,Status,Role,Last follow-up date
dfdsf,rfrew,14-04-26,Rejected,rff,--
fdds,dds,14-04-26,No reply,fdfs,21-04-2026
dfds,fdfe,14-04-26,Applied,dss,21-04-2026
fdsfds,jsdhkjfbsjkf@bfjhbds,14-04-26, ,frefr,--
ejhvfhew,rgb@bndfk,14-04-26,Applied,fgrger,--
fd,kjbk@gfd,14-04-26,Applied,efbkb,--
fhjbdf,ggj@gjgf,14-04-26,Applied,dvsv,--
rfd,gdfg@gfbgf,14-04-26,Applied,dfgfdg,21-04-2026
HArsh,ndlsa@dasd,15-04-2026,Applied,jsbdk,22-04-2026
sdasd,dsdasdd@rfer,15-04-2026,No reply,sdsad,22-04-2026
TechSeekers,x@gmail.com,15-04-2026,Applied,Soft Eng,22-04-2026
